City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Tautira,PF,-17.7333,-149.15,86.0,74,40,5.75,light rain
132,Lompoc,US,34.6391,-120.4579,61.0,59,6,13.8,clear sky
133,Zhanaozen,KZ,43.3,52.8,43.57,72,8,12.26,clear sky
134,Basudebpur,IN,21.1353,86.7386,74.68,85,3,5.93,clear sky
135,Touros,BR,-5.1989,-35.4608,75.2,100,75,4.61,mist
136,Leningradskiy,RU,69.3833,178.4167,-9.44,89,100,4.65,overcast clouds
137,Souillac,MU,-20.5167,57.5167,78.8,89,40,1.14,scattered clouds
138,Richards Bay,ZA,-28.783,32.0377,71.19,59,93,10.36,overcast clouds
139,Quarai,BR,-30.3875,-56.4514,71.64,66,60,8.95,broken clouds
140,Sherlovaya Gora,RU,50.5667,116.25,27.79,64,60,10.16,broken clouds
141,Bathsheba,BB,13.2167,-59.5167,80.6,54,40,20.71,scattered clouds
142,Chuy,UY,-33.6971,-53.4616,65.66,77,8,7.43,clear sky
143,Manali,IN,13.1667,80.2667,82.4,83,20,10.36,mist
144,Srednekolymsk,RU,67.45,153.6833,-3.75,87,59,3.74,broken clouds
145,Sakaiminato,JP,35.55,133.2333,60.8,82,75,6.91,broken clouds
146,Itarema,BR,-2.9248,-39.9167,80.02,80,32,12.59,scattered clouds
147,Butembo,CD,0.15,29.2833,57.83,95,84,1.23,light rain
148,Aktau,KZ,43.65,51.2,44.6,87,0,11.18,clear sky
149,Kamenka,RU,51.3223,42.7678,35.01,94,100,10.94,overcast clouds
150,Taganak,PH,6.0833,118.3,78.8,94,40,2.3,scattered clouds
151,Vikulovo,RU,56.8167,70.6107,28.81,89,100,9.35,overcast clouds
152,Kutum,SD,14.2,24.6667,69.8,14,91,12.46,overcast clouds
153,Port Elizabeth,ZA,-33.918,25.5701,62.6,82,20,8.05,few clouds
154,Yellowknife,CA,62.456,-114.3525,9.0,61,20,6.91,few clouds
155,Chokurdakh,RU,70.6333,147.9167,-14.71,99,65,5.46,broken clouds
156,Castro,BR,-24.7911,-50.0119,60.49,85,12,3.56,few clouds
157,Beloha,MG,-25.1667,45.05,69.94,87,0,3.98,clear sky
158,New Norfolk,AU,-42.7826,147.0587,59.0,52,13,4.0,few clouds
159,Comodoro Rivadavia,AR,-45.8667,-67.5,75.2,38,0,6.91,clear sky
160,San-Pedro,CI,4.7485,-6.6363,79.32,88,12,6.44,few clouds
161,Portland,US,45.5234,-122.6762,66.99,42,75,3.44,broken clouds
162,Cabo San Lucas,MX,22.8909,-109.9124,87.8,30,20,5.75,few clouds
163,Trincomalee,LK,8.5711,81.2335,78.62,71,45,11.99,scattered clouds
164,Henties Bay,NA,-22.116,14.2845,64.0,86,2,3.0,clear sky
165,Bluff,NZ,-46.6,168.3333,66.0,62,67,13.0,broken clouds
166,Luderitz,NA,-26.6481,15.1594,72.12,51,0,14.05,clear sky
167,Tateyama,JP,34.9833,139.8667,63.0,80,76,3.0,broken clouds
168,Long,TH,18.0761,99.8326,74.75,82,62,2.08,light rain
169,Yeppoon,AU,-23.1333,150.7333,71.6,88,90,8.05,light rain
170,Roswell,US,34.0232,-84.3616,64.0,27,1,8.05,clear sky
171,Shimoda,JP,34.6667,138.95,62.01,75,81,7.9,broken clouds
172,Lavrentiya,RU,65.5833,-171.0,5.77,83,99,10.74,overcast clouds
173,Bethel,US,41.3712,-73.414,50.0,21,8,3.0,clear sky
174,Murgab,TM,37.4966,61.9714,57.2,67,75,18.41,light rain
175,Gamba,GA,-2.65,10.0,77.45,89,100,3.38,moderate rain
176,Verkhnyaya Inta,RU,65.9811,60.3094,13.05,95,88,5.41,overcast clouds
177,Kruisfontein,ZA,-34.0033,24.7314,59.0,85,16,4.43,few clouds
178,Lasa,IT,46.6166,10.7002,53.6,69,0,6.91,clear sky
179,Tumen,CN,42.9661,129.8425,34.77,46,100,3.15,overcast clouds
180,Sheridan,US,44.8333,-106.9173,73.0,14,1,1.86,clear sky
181,San Patricio,US,28.017,-97.5169,73.0,60,75,18.41,broken clouds
182,Kapaa,US,22.0752,-159.319,78.8,65,40,18.41,light rain
183,Yeniseysk,RU,58.4497,92.1703,31.98,93,100,6.04,overcast clouds
184,Flinders,AU,-34.5833,150.8552,64.0,90,16,7.16,few clouds
185,Bismarck,US,46.8083,-100.7837,78.8,14,1,18.41,clear sky
186,Kasempa,ZM,-13.4584,25.8338,63.63,76,51,4.61,broken clouds
187,Port Alfred,ZA,-33.5906,26.891,63.39,79,95,16.28,overcast clouds
188,Guiglo,CI,6.5456,-7.4966,76.6,78,64,3.09,broken clouds
189,Mahon,ES,39.8885,4.2658,55.4,71,0,3.44,clear sky
190,Kozhva,RU,65.1073,57.0459,15.82,98,69,1.74,broken clouds
191,Alice Springs,AU,-23.7,133.8833,57.2,77,0,5.75,clear sky
192,Champerico,GT,14.3,-91.9167,87.8,70,75,13.8,broken clouds
193,Yulara,AU,-25.2406,130.9889,64.4,52,0,6.91,clear sky
194,Xalpatlahuac,MX,17.4667,-98.6167,83.75,17,1,4.36,clear sky
195,Valparaiso,CL,-33.0393,-71.6273,60.8,72,4,3.44,clear sky
196,Tokmak,UA,47.2514,35.7058,40.53,78,100,4.63,overcast clouds
197,Vulcan,RO,45.3833,23.2667,35.6,93,99,5.03,overcast clouds
198,Maxixe,MZ,-23.8597,35.3472,74.01,83,63,8.57,broken clouds
199,Guadalajara,MX,20.6667,-103.3333,88.0,16,40,5.75,scattered clouds
200,Hare Bay,CA,48.8499,-54.0148,50.0,81,96,5.75,overcast clouds
201,Manggar,ID,-2.8833,108.2667,78.64,85,63,5.46,broken clouds
