City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,General Roca,AR,80.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
384,Viedma,AR,76.77,few clouds,-40.8135,-62.9967,Hotel Cristal
391,Pirassununga,BR,80.6,clear sky,-21.9961,-47.4258,Hotel Premium Pirassununga
393,Namatanai,PG,83.32,light rain,-3.6667,152.4333,Namatanai Hotel
396,Itupiranga,BR,84.2,few clouds,-5.1347,-49.3267,Hotel Panorama
397,Saint-Georges,GD,82.4,scattered clouds,12.0564,-61.7485,Siesta Hotel
398,Dingle,PH,75.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
400,Angoche,MZ,76.95,light rain,-16.2325,39.9086,Guest House HESADA
402,Boone,US,75.2,clear sky,39.0334,-92.3335,Cottonwoods RV Park
404,Port Moresby,PG,75.2,overcast clouds,-9.4431,147.1797,Lamana Hotel
405,Isangel,VU,82.4,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
407,Vila Velha,BR,78.8,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
408,Miandrivazo,MG,76.08,scattered clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
409,Bambous Virieux,MU,79.0,light rain,-20.3428,57.7575,Casa Tia Villa
414,Bang Saphan,TH,76.68,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
415,Vallenar,CL,76.55,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
421,Merauke,ID,77.22,light rain,-8.4667,140.3333,PC
423,Nacimiento,CL,78.8,clear sky,-37.5,-72.6667,Residencial San Marcos
424,Arraial Do Cabo,BR,78.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
425,Bosaso,SO,78.46,scattered clouds,11.2842,49.1816,Red Sea Hotel
428,Rondonopolis,BR,84.79,overcast clouds,-16.4708,-54.6356,Serras Hotel
430,Venado,MX,75.94,broken clouds,22.9333,-101.0833,Arnecom
431,Nikki,BJ,82.42,scattered clouds,9.9401,3.2108,Hotel John
